[1.018s] Invoking command in '/home/point001/autoware.ai/build/citysim': CONDA_PROMPT_MODIFIER=(base) /usr/bin/cmake --build /home/point001/autoware.ai/build/citysim -- -j24 -l24
[1.077s] [  8%] [34m[1mAutomatic MOC for target TrafficLightsGUIPlugin[0m
[1.077s] [ 16%] [34m[1mAutomatic MOC for target LensFlareVisualPlugin[0m
[1.080s] [ 25%] [34m[1mAutomatic MOC for target BloomVisualPlugin[0m
[1.102s] [ 25%] Built target LensFlareVisualPlugin_autogen
[1.106s] [ 25%] Built target TrafficLightsGUIPlugin_autogen
[1.107s] [ 25%] Built target BloomVisualPlugin_autogen
[1.146s] [ 50%] Built target LensFlareVisualPlugin
[1.152s] [ 75%] Built target BloomVisualPlugin
[1.170s] [100%] Built target TrafficLightsGUIPlugin
[1.252s] Invoked command in '/home/point001/autoware.ai/build/citysim' returned '0': CONDA_PROMPT_MODIFIER=(base) /usr/bin/cmake --build /home/point001/autoware.ai/build/citysim -- -j24 -l24
[1.567s] Invoking command in '/home/point001/autoware.ai/build/citysim': CONDA_PROMPT_MODIFIER=(base) /usr/bin/cmake --build /home/point001/autoware.ai/build/citysim --target install -- -j24 -l24
[1.686s] [  8%] [34m[1mAutomatic MOC for target LensFlareVisualPlugin[0m
[1.697s] [ 16%] [34m[1mAutomatic MOC for target TrafficLightsGUIPlugin[0m
[1.700s] [ 25%] [34m[1mAutomatic MOC for target BloomVisualPlugin[0m
[1.730s] [ 25%] Built target LensFlareVisualPlugin_autogen
[1.742s] [ 25%] Built target TrafficLightsGUIPlugin_autogen
[1.744s] [ 25%] Built target BloomVisualPlugin_autogen
[1.786s] [ 50%] Built target LensFlareVisualPlugin
[1.806s] [ 75%] Built target BloomVisualPlugin
[1.830s] [100%] Built target TrafficLightsGUIPlugin
[1.884s] [36mInstall the project...[0m
[1.907s] -- Install configuration: "Release"
[1.907s] -- Up-to-date: /home/point001/autoware.ai/install/citysim/share/citysim-0/setup.sh
[1.907s] -- Up-to-date: /home/point001/autoware.ai/install/citysim/share/citysim/setup.sh
[1.907s] -- Up-to-date: /home/point001/autoware.ai/install/citysim/lib/citysim-0/plugins/libLensFlareVisualPlugin.so
[1.908s] -- Up-to-date: /home/point001/autoware.ai/install/citysim/lib/citysim-0/plugins/libBloomVisualPlugin.so
[1.910s] -- Up-to-date: /home/point001/autoware.ai/install/citysim/lib/citysim-0/plugins/libTrafficLightsGUIPlugin.so
[1.913s] -- Up-to-date: /home/point001/autoware.ai/install/citysim/share/citysim-0/models/actor
[1.913s] -- Up-to-date: /home/point001/autoware.ai/install/citysim/share/citysim-0/models/actor/model.config
[1.913s] -- Up-to-date: /home/point001/autoware.ai/install/citysim/share/citysim-0/models/actor/model.sdf
[1.914s] -- Up-to-date: /home/point001/autoware.ai/install/citysim/share/citysim-0/models/actor/meshes
[1.914s] -- Up-to-date: /home/point001/autoware.ai/install/citysim/share/citysim-0/models/actor/meshes/ANIMATION_talking_b.dae
[1.914s] -- Up-to-date: /home/point001/autoware.ai/install/citysim/share/citysim-0/models/actor/meshes/SKIN_man_red_shirt.dae
[1.914s] -- Up-to-date: /home/point001/autoware.ai/install/citysim/share/citysim-0/models/actor/meshes/SKIN_man_green_shirt.dae
[1.914s] -- Up-to-date: /home/point001/autoware.ai/install/citysim/share/citysim-0/models/actor/meshes/ANIMATION_walking.dae
[1.914s] -- Up-to-date: /home/point001/autoware.ai/install/citysim/share/citysim-0/models/actor/meshes/ANIMATION_talking_a.dae
[1.914s] -- Up-to-date: /home/point001/autoware.ai/install/citysim/share/citysim-0/models/actor/meshes/SKIN_man_blue_shirt.dae
