[0.542s] Invoking command in '/home/point001/autoware.ai/build/citysim': /usr/bin/cmake --build /home/point001/autoware.ai/build/citysim -- -j24 -l24
[0.608s] [  8%] [34m[1mAutomatic MOC for target BloomVisualPlugin[0m
[0.608s] [ 16%] [34m[1mAutomatic MOC for target TrafficLightsGUIPlugin[0m
[0.616s] [ 25%] [34m[1mAutomatic MOC for target LensFlareVisualPlugin[0m
[0.629s] [ 25%] Built target BloomVisualPlugin_autogen
[0.641s] [ 25%] Built target LensFlareVisualPlugin_autogen
[0.642s] [ 25%] Built target TrafficLightsGUIPlugin_autogen
[0.667s] [ 50%] Built target BloomVisualPlugin
[0.677s] [ 75%] Built target LensFlareVisualPlugin
[0.702s] [100%] Built target TrafficLightsGUIPlugin
[0.784s] Invoked command in '/home/point001/autoware.ai/build/citysim' returned '0': /usr/bin/cmake --build /home/point001/autoware.ai/build/citysim -- -j24 -l24
[1.048s] Invoking command in '/home/point001/autoware.ai/build/citysim': /usr/bin/cmake --build /home/point001/autoware.ai/build/citysim --target install -- -j24 -l24
[1.096s] [  8%] [34m[1mAutomatic MOC for target LensFlareVisualPlugin[0m
[1.097s] [ 16%] [34m[1mAutomatic MOC for target BloomVisualPlugin[0m
[1.098s] [ 25%] [34m[1mAutomatic MOC for target TrafficLightsGUIPlugin[0m
[1.126s] [ 25%] Built target TrafficLightsGUIPlugin_autogen
[1.126s] [ 25%] Built target BloomVisualPlugin_autogen
[1.140s] [ 25%] Built target LensFlareVisualPlugin_autogen
[1.196s] [ 50%] Built target BloomVisualPlugin
[1.224s] [ 75%] Built target LensFlareVisualPlugin
[1.256s] [100%] Built target TrafficLightsGUIPlugin
[1.275s] [36mInstall the project...[0m
[1.286s] -- Install configuration: "Release"
[1.290s] -- Up-to-date: /home/point001/autoware.ai/install/citysim/share/citysim-0/setup.sh
[1.290s] -- Up-to-date: /home/point001/autoware.ai/install/citysim/share/citysim/setup.sh
[1.291s] -- Up-to-date: /home/point001/autoware.ai/install/citysim/lib/citysim-0/plugins/libLensFlareVisualPlugin.so
[1.291s] -- Up-to-date: /home/point001/autoware.ai/install/citysim/lib/citysim-0/plugins/libBloomVisualPlugin.so
[1.291s] -- Up-to-date: /home/point001/autoware.ai/install/citysim/lib/citysim-0/plugins/libTrafficLightsGUIPlugin.so
[1.291s] -- Up-to-date: /home/point001/autoware.ai/install/citysim/share/citysim-0/models/actor
[1.291s] -- Up-to-date: /home/point001/autoware.ai/install/citysim/share/citysim-0/models/actor/model.config
[1.291s] -- Up-to-date: /home/point001/autoware.ai/install/citysim/share/citysim-0/models/actor/model.sdf
[1.291s] -- Up-to-date: /home/point001/autoware.ai/install/citysim/share/citysim-0/models/actor/meshes
[1.291s] -- Up-to-date: /home/point001/autoware.ai/install/citysim/share/citysim-0/models/actor/meshes/ANIMATION_talking_b.dae
[1.292s] -- Up-to-date: /home/point001/autoware.ai/install/citysim/share/citysim-0/models/actor/meshes/SKIN_man_red_shirt.dae
[1.292s] -- Up-to-date: /home/point001/autoware.ai/install/citysim/share/citysim-0/models/actor/meshes/SKIN_man_green_shirt.dae
[1.292s] -- Up-to-date: /home/point001/autoware.ai/install/citysim/share/citysim-0/models/actor/meshes/ANIMATION_walking.dae
[1.292s] -- Up-to-date: /home/point001/autoware.ai/install/citysim/share/citysim-0/models/actor/meshes/ANIMATION_talking_a.dae
[1.292s] -- Up-to-date: /home/point001/autoware.ai/install/citysim/share/citysim-0/models/actor/meshes/SKIN_man_blue_shirt.dae
[1.292s] -- Up-to-date: /home/point001/autoware.ai/install/citysim/share/citysim-0/models/actor/meshes/ANIMATION_running.dae
[1.292s] -- Up-to-date: /home/point001/autoware.ai/install/citysim/share/citysim-0/models/city_terrain
[1.292s] -- Up-to-date: /home/point001/autoware.ai/install/citysim/share/citysim-0/models/city_terrain/materials
[1.292s] -- Up-to-date: /home/point001/autoware.ai/install/citysim/share/citysim-0/models/city_terrain/materials/textures
[1.292s] -- Up-to-date: /home/point001/autoware.ai/install/citysim/share/citysim-0/models/city_terrain/materials/textures/forest.jpg
